Tamanho,Tempo,Algoritmo
10,1.5238998457789421e-05,Força Bruta
10,3.126400042674504e-05,Divisão e Conquista
10,7.186998118413612e-06,Força Bruta
10,1.689400232862681e-05,Divisão e Conquista
10,6.803002179367468e-06,Força Bruta
10,1.5091998648131266e-05,Divisão e Conquista
10,6.79999720887281e-06,Força Bruta
10,1.7275000573135912e-05,Divisão e Conquista
10,6.754999049007893e-06,Força Bruta
10,1.2925000191899016e-05,Divisão e Conquista
10,6.7879991547670215e-06,Força Bruta
10,1.440299820387736e-05,Divisão e Conquista
10,6.721998943248764e-06,Força Bruta
10,1.3472999853547662e-05,Divisão e Conquista
10,6.573998689418659e-06,Força Bruta
10,1.4782999642193317e-05,Divisão e Conquista
10,6.4159976318478584e-06,Força Bruta
10,1.4827000995865092e-05,Divisão e Conquista
10,6.640999345108867e-06,Força Bruta
10,1.572399924043566e-05,Divisão e Conquista
10,6.4110026869457215e-06,Força Bruta
10,1.721499938867055e-05,Divisão e Conquista
10,6.466001650551334e-06,Força Bruta
10,1.8097001884598285e-05,Divisão e Conquista
10,6.494999979622662e-06,Força Bruta
10,1.4792000001762062e-05,Divisão e Conquista
19,2.0625000615837052e-05,Força Bruta
19,3.3749998692655936e-05,Divisão e Conquista
19,2.063799911411479e-05,Força Bruta
19,3.7304998841136694e-05,Divisão e Conquista
19,2.082499850075692e-05,Força Bruta
19,4.05589998990763e-05,Divisão e Conquista
19,2.0681000023614615e-05,Força Bruta
19,3.1618001230526716e-05,Divisão e Conquista
19,2.0404000679263845e-05,Força Bruta
19,4.9678998038871214e-05,Divisão e Conquista
19,4.3593001464614645e-05,Força Bruta
19,7.047800318105146e-05,Divisão e Conquista
19,2.1031999494880438e-05,Força Bruta
19,4.039100167574361e-05,Divisão e Conquista
19,5.028400119044818e-05,Força Bruta
19,3.804600055445917e-05,Divisão e Conquista
19,2.0891002350253984e-05,Força Bruta
19,3.2672000088496134e-05,Divisão e Conquista
19,2.0475999917834997e-05,Força Bruta
19,3.3907999750226736e-05,Divisão e Conquista
19,2.188600046792999e-05,Força Bruta
